orderid,productid,unitprice,quantity,discount,orderdate,customerid,employeeid,shipvia,ca,annee_mois,date_join,datesk_x,customersk_x,companyname_x,country_x,employeesk_x,fullname_x,datesk_y,customersk_y,companyname_y,country_y,employeesk_y,fullname_y,customersk,companyname,country,employeesk,fullname
10248,11,14.0,12,0.0,1996-07-04,VINET,5,3,168.0,1996-07,1996-07-04,1,VINET,Vins et alcools Chevalier,France,5,Steven Buchanan,1,VINET,Vins et alcools Chevalier,France,5,Steven Buchanan,VINET,Vins et alcools Chevalier,France,5,Steven Buchanan
10248,42,9.8,10,0.0,1996-07-04,VINET,5,3,98.0,1996-07,1996-07-04,1,VINET,Vins et alcools Chevalier,France,5,Steven Buchanan,1,VINET,Vins et alcools Chevalier,France,5,Steven Buchanan,VINET,Vins et alcools Chevalier,France,5,Steven Buchanan
10248,72,34.8,5,0.0,1996-07-04,VINET,5,3,174.0,1996-07,1996-07-04,1,VINET,Vins et alcools Chevalier,France,5,Steven Buchanan,1,VINET,Vins et alcools Chevalier,France,5,Steven Buchanan,VINET,Vins et alcools Chevalier,France,5,Steven Buchanan
10249,14,18.6,9,0.0,1996-07-05,TOMSP,6,1,167.4,1996-07,1996-07-05,2,TOMSP,Toms Spezialitäten,Germany,6,Michael Suyama,2,TOMSP,Toms Spezialitäten,Germany,6,Michael Suyama,TOMSP,Toms Spezialitäten,Germany,6,Michael Suyama
10249,51,42.4,40,0.0,1996-07-05,TOMSP,6,1,1696.0,1996-07,1996-07-05,2,TOMSP,Toms Spezialitäten,Germany,6,Michael Suyama,2,TOMSP,Toms Spezialitäten,Germany,6,Michael Suyama,TOMSP,Toms Spezialitäten,Germany,6,Michael Suyama
10250,41,7.7,10,0.0,1996-07-08,HANAR,4,2,77.0,1996-07,1996-07-08,5,HANAR,Hanari Carnes,Brazil,4,Margaret Peacock,5,HANAR,Hanari Carnes,Brazil,4,Margaret Peacock,HANAR,Hanari Carnes,Brazil,4,Margaret Peacock
10250,51,42.4,35,0.15000000596046448,1996-07-08,HANAR,4,2,1261.3999911546707,1996-07,1996-07-08,5,HANAR,Hanari Carnes,Brazil,4,Margaret Peacock,5,HANAR,Hanari Carnes,Brazil,4,Margaret Peacock,HANAR,Hanari Carnes,Brazil,4,Margaret Peacock
10250,65,16.8,15,0.15000000596046448,1996-07-08,HANAR,4,2,214.19999849796295,1996-07,1996-07-08,5,HANAR,Hanari Carnes,Brazil,4,Margaret Peacock,5,HANAR,Hanari Carnes,Brazil,4,Margaret Peacock,HANAR,Hanari Carnes,Brazil,4,Margaret Peacock
10251,22,16.8,6,0.05000000074505806,1996-07-08,VICTE,3,1,95.75999992489815,1996-07,1996-07-08,5,VICTE,Victuailles en stock,France,3,Janet Leverling,5,VICTE,Victuailles en stock,France,3,Janet Leverling,VICTE,Victuailles en stock,France,3,Janet Leverling
10251,57,15.6,15,0.05000000074505806,1996-07-08,VICTE,3,1,222.2999998256564,1996-07,1996-07-08,5,VICTE,Victuailles en stock,France,3,Janet Leverling,5,VICTE,Victuailles en stock,France,3,Janet Leverling,VICTE,Victuailles en stock,France,3,Janet Leverling
10251,65,16.8,20,0.0,1996-07-08,VICTE,3,1,336.0,1996-07,1996-07-08,5,VICTE,Victuailles en stock,France,3,Janet Leverling,5,VICTE,Victuailles en stock,France,3,Janet Leverling,VICTE,Victuailles en stock,France,3,Janet Leverling
10252,20,64.8,40,0.05000000074505806,1996-07-09,SUPRD,4,2,2462.3999980688095,1996-07,1996-07-09,6,SUPRD,Suprêmes délices,Belgium,4,Margaret Peacock,6,SUPRD,Suprêmes délices,Belgium,4,Margaret Peacock,SUPRD,Suprêmes délices,Belgium,4,Margaret Peacock
10252,33,2.0,25,0.05000000074505806,1996-07-09,SUPRD,4,2,47.4999999627471,1996-07,1996-07-09,6,SUPRD,Suprêmes délices,Belgium,4,Margaret Peacock,6,SUPRD,Suprêmes délices,Belgium,4,Margaret Peacock,SUPRD,Suprêmes délices,Belgium,4,Margaret Peacock
10252,60,27.2,40,0.0,1996-07-09,SUPRD,4,2,1088.0,1996-07,1996-07-09,6,SUPRD,Suprêmes délices,Belgium,4,Margaret Peacock,6,SUPRD,Suprêmes délices,Belgium,4,Margaret Peacock,SUPRD,Suprêmes délices,Belgium,4,Margaret Peacock
10253,31,10.0,20,0.0,1996-07-10,HANAR,3,2,200.0,1996-07,1996-07-10,7,HANAR,Hanari Carnes,Brazil,3,Janet Leverling,7,HANAR,Hanari Carnes,Brazil,3,Janet Leverling,HANAR,Hanari Carnes,Brazil,3,Janet Leverling
10253,39,14.4,42,0.0,1996-07-10,HANAR,3,2,604.8000000000001,1996-07,1996-07-10,7,HANAR,Hanari Carnes,Brazil,3,Janet Leverling,7,HANAR,Hanari Carnes,Brazil,3,Janet Leverling,HANAR,Hanari Carnes,Brazil,3,Janet Leverling
10253,49,16.0,40,0.0,1996-07-10,HANAR,3,2,640.0,1996-07,1996-07-10,7,HANAR,Hanari Carnes,Brazil,3,Janet Leverling,7,HANAR,Hanari Carnes,Brazil,3,Janet Leverling,HANAR,Hanari Carnes,Brazil,3,Janet Leverling
10254,24,3.6,15,0.15000000596046448,1996-07-11,CHOPS,5,2,45.89999967813492,1996-07,1996-07-11,8,CHOPS,Chop-suey Chinese,Switzerland,5,Steven Buchanan,8,CHOPS,Chop-suey Chinese,Switzerland,5,Steven Buchanan,CHOPS,Chop-suey Chinese,Switzerland,5,Steven Buchanan
10254,55,19.2,21,0.15000000596046448,1996-07-11,CHOPS,5,2,342.7199975967407,1996-07,1996-07-11,8,CHOPS,Chop-suey Chinese,Switzerland,5,Steven Buchanan,8,CHOPS,Chop-suey Chinese,Switzerland,5,Steven Buchanan,CHOPS,Chop-suey Chinese,Switzerland,5,Steven Buchanan
10254,74,8.0,21,0.0,1996-07-11,CHOPS,5,2,168.0,1996-07,1996-07-11,8,CHOPS,Chop-suey Chinese,Switzerland,5,Steven Buchanan,8,CHOPS,Chop-suey Chinese,Switzerland,5,Steven Buchanan,CHOPS,Chop-suey Chinese,Switzerland,5,Steven Buchanan
10255,2,15.2,20,0.0,1996-07-12,RICSU,9,3,304.0,1996-07,1996-07-12,9,RICSU,Richter Supermarkt,Switzerland,9,Anne Dodsworth,9,RICSU,Richter Supermarkt,Switzerland,9,Anne Dodsworth,RICSU,Richter Supermarkt,Switzerland,9,Anne Dodsworth
10255,16,13.9,35,0.0,1996-07-12,RICSU,9,3,486.5,1996-07,1996-07-12,9,RICSU,Richter Supermarkt,Switzerland,9,Anne Dodsworth,9,RICSU,Richter Supermarkt,Switzerland,9,Anne Dodsworth,RICSU,Richter Supermarkt,Switzerland,9,Anne Dodsworth
10255,36,15.2,25,0.0,1996-07-12,RICSU,9,3,380.0,1996-07,1996-07-12,9,RICSU,Richter Supermarkt,Switzerland,9,Anne Dodsworth,9,RICSU,Richter Supermarkt,Switzerland,9,Anne Dodsworth,RICSU,Richter Supermarkt,Switzerland,9,Anne Dodsworth
10255,59,44.0,30,0.0,1996-07-12,RICSU,9,3,1320.0,1996-07,1996-07-12,9,RICSU,Richter Supermarkt,Switzerland,9,Anne Dodsworth,9,RICSU,Richter Supermarkt,Switzerland,9,Anne Dodsworth,RICSU,Richter Supermarkt,Switzerland,9,Anne Dodsworth
10256,53,26.2,15,0.0,1996-07-15,WELLI,3,2,393.0,1996-07,1996-07-15,12,WELLI,Wellington Importadora,Brazil,3,Janet Leverling,12,WELLI,Wellington Importadora,Brazil,3,Janet Leverling,WELLI,Wellington Importadora,Brazil,3,Janet Leverling
10256,77,10.4,12,0.0,1996-07-15,WELLI,3,2,124.80000000000001,1996-07,1996-07-15,12,WELLI,Wellington Importadora,Brazil,3,Janet Leverling,12,WELLI,Wellington Importadora,Brazil,3,Janet Leverling,WELLI,Wellington Importadora,Brazil,3,Janet Leverling
10257,27,35.1,25,0.0,1996-07-16,HILAA,4,3,877.5,1996-07,1996-07-16,13,HILAA,HILARION-Abastos,Venezuela,4,Margaret Peacock,13,HILAA,HILARION-Abastos,Venezuela,4,Margaret Peacock,HILAA,HILARION-Abastos,Venezuela,4,Margaret Peacock
10257,39,14.4,6,0.0,1996-07-16,HILAA,4,3,86.4,1996-07,1996-07-16,13,HILAA,HILARION-Abastos,Venezuela,4,Margaret Peacock,13,HILAA,HILARION-Abastos,Venezuela,4,Margaret Peacock,HILAA,HILARION-Abastos,Venezuela,4,Margaret Peacock
10257,77,10.4,15,0.0,1996-07-16,HILAA,4,3,156.0,1996-07,1996-07-16,13,HILAA,HILARION-Abastos,Venezuela,4,Margaret Peacock,13,HILAA,HILARION-Abastos,Venezuela,4,Margaret Peacock,HILAA,HILARION-Abastos,Venezuela,4,Margaret Peacock
10258,2,15.2,50,0.20000000298023224,1996-07-17,ERNSH,1,1,607.9999977350235,1996-07,1996-07-17,14,ERNSH,Ernst Handel,Austria,1,Nancy Davolio,14,ERNSH,Ernst Handel,Austria,1,Nancy Davolio,ERNSH,Ernst Handel,Austria,1,Nancy Davolio
10258,5,17.0,65,0.20000000298023224,1996-07-17,ERNSH,1,1,883.9999967068434,1996-07,1996-07-17,14,ERNSH,Ernst Handel,Austria,1,Nancy Davolio,14,ERNSH,Ernst Handel,Austria,1,Nancy Davolio,ERNSH,Ernst Handel,Austria,1,Nancy Davolio
10258,32,25.6,6,0.20000000298023224,1996-07-17,ERNSH,1,1,122.87999954223635,1996-07,1996-07-17,14,ERNSH,Ernst Handel,Austria,1,Nancy Davolio,14,ERNSH,Ernst Handel,Austria,1,Nancy Davolio,ERNSH,Ernst Handel,Austria,1,Nancy Davolio
10259,21,8.0,10,0.0,1996-07-18,CENTC,4,3,80.0,1996-07,1996-07-18,15,CENTC,Centro comercial Moctezuma,Mexico,4,Margaret Peacock,15,CENTC,Centro comercial Moctezuma,Mexico,4,Margaret Peacock,CENTC,Centro comercial Moctezuma,Mexico,4,Margaret Peacock
10259,37,20.8,1,0.0,1996-07-18,CENTC,4,3,20.8,1996-07,1996-07-18,15,CENTC,Centro comercial Moctezuma,Mexico,4,Margaret Peacock,15,CENTC,Centro comercial Moctezuma,Mexico,4,Margaret Peacock,CENTC,Centro comercial Moctezuma,Mexico,4,Margaret Peacock
10260,41,7.7,16,0.25,1996-07-19,OTTIK,4,1,92.4,1996-07,1996-07-19,16,OTTIK,Ottilies Käseladen,Germany,4,Margaret Peacock,16,OTTIK,Ottilies Käseladen,Germany,4,Margaret Peacock,OTTIK,Ottilies Käseladen,Germany,4,Margaret Peacock
10260,57,15.6,50,0.0,1996-07-19,OTTIK,4,1,780.0,1996-07,1996-07-19,16,OTTIK,Ottilies Käseladen,Germany,4,Margaret Peacock,16,OTTIK,Ottilies Käseladen,Germany,4,Margaret Peacock,OTTIK,Ottilies Käseladen,Germany,4,Margaret Peacock
10260,62,39.4,15,0.25,1996-07-19,OTTIK,4,1,443.25,1996-07,1996-07-19,16,OTTIK,Ottilies Käseladen,Germany,4,Margaret Peacock,16,OTTIK,Ottilies Käseladen,Germany,4,Margaret Peacock,OTTIK,Ottilies Käseladen,Germany,4,Margaret Peacock
10260,70,12.0,21,0.25,1996-07-19,OTTIK,4,1,189.0,1996-07,1996-07-19,16,OTTIK,Ottilies Käseladen,Germany,4,Margaret Peacock,16,OTTIK,Ottilies Käseladen,Germany,4,Margaret Peacock,OTTIK,Ottilies Käseladen,Germany,4,Margaret Peacock
10261,21,8.0,20,0.0,1996-07-19,QUEDE,4,2,160.0,1996-07,1996-07-19,16,QUEDE,Que Delícia,Brazil,4,Margaret Peacock,16,QUEDE,Que Delícia,Brazil,4,Margaret Peacock,QUEDE,Que Delícia,Brazil,4,Margaret Peacock
10261,35,14.4,20,0.0,1996-07-19,QUEDE,4,2,288.0,1996-07,1996-07-19,16,QUEDE,Que Delícia,Brazil,4,Margaret Peacock,16,QUEDE,Que Delícia,Brazil,4,Margaret Peacock,QUEDE,Que Delícia,Brazil,4,Margaret Peacock
10262,5,17.0,12,0.20000000298023224,1996-07-22,RATTC,8,3,163.19999939203262,1996-07,1996-07-22,19,RATTC,Rattlesnake Canyon Grocery,USA,8,Laura Callahan,19,RATTC,Rattlesnake Canyon Grocery,USA,8,Laura Callahan,RATTC,Rattlesnake Canyon Grocery,USA,8,Laura Callahan
10262,7,24.0,15,0.0,1996-07-22,RATTC,8,3,360.0,1996-07,1996-07-22,19,RATTC,Rattlesnake Canyon Grocery,USA,8,Laura Callahan,19,RATTC,Rattlesnake Canyon Grocery,USA,8,Laura Callahan,RATTC,Rattlesnake Canyon Grocery,USA,8,Laura Callahan
10262,56,30.4,2,0.0,1996-07-22,RATTC,8,3,60.8,1996-07,1996-07-22,19,RATTC,Rattlesnake Canyon Grocery,USA,8,Laura Callahan,19,RATTC,Rattlesnake Canyon Grocery,USA,8,Laura Callahan,RATTC,Rattlesnake Canyon Grocery,USA,8,Laura Callahan
10263,16,13.9,60,0.25,1996-07-23,ERNSH,9,3,625.5,1996-07,1996-07-23,20,ERNSH,Ernst Handel,Austria,9,Anne Dodsworth,20,ERNSH,Ernst Handel,Austria,9,Anne Dodsworth,ERNSH,Ernst Handel,Austria,9,Anne Dodsworth
10263,24,3.6,28,0.0,1996-07-23,ERNSH,9,3,100.8,1996-07,1996-07-23,20,ERNSH,Ernst Handel,Austria,9,Anne Dodsworth,20,ERNSH,Ernst Handel,Austria,9,Anne Dodsworth,ERNSH,Ernst Handel,Austria,9,Anne Dodsworth
10263,30,20.7,60,0.25,1996-07-23,ERNSH,9,3,931.5,1996-07,1996-07-23,20,ERNSH,Ernst Handel,Austria,9,Anne Dodsworth,20,ERNSH,Ernst Handel,Austria,9,Anne Dodsworth,ERNSH,Ernst Handel,Austria,9,Anne Dodsworth
